x,y,value
69,4,177
70,4,177
71,4,177
72,4,177
73,4,178
74,4,178
75,4,178
76,4,178
77,4,178
78,4,178
79,4,178
80,4,178
81,4,179
82,4,178
83,4,178
84,4,178
85,4,178
86,4,178
87,4,178
88,4,177
89,4,176
90,4,177
91,4,177
92,4,178
93,4,177
94,4,177
95,4,177
96,4,177
97,4,177
98,4,177
99,4,176
100,4,176
101,4,177
102,4,176
103,4,177
104,4,177
105,4,177
106,4,177
107,4,177
108,4,177
109,4,176
110,4,176
111,4,176
112,4,176
113,4,175
114,4,176
115,4,175
116,4,175
117,4,175
118,4,175
119,4,175
120,4,175
121,4,175
122,4,175
123,4,175
124,4,175
125,4,175
126,4,175
127,4,175
128,4,175
129,4,175
130,4,175
131,4,175
132,4,175
133,4,175
134,4,175
135,4,175
136,4,175
137,4,175
138,4,174
139,4,175
140,4,175
141,4,175
142,4,175
143,4,174
144,4,174
145,4,175
146,4,174
147,4,174
148,4,174
149,4,174
150,4,174
151,4,174
152,4,174
153,4,175
154,4,175
155,4,174
156,4,175
157,4,175
158,4,175
159,4,174
160,4,175
161,4,175
162,4,174
163,4,175
164,4,175
165,4,175
166,4,174
167,4,175
168,4,175
169,4,175
170,4,174
171,4,174
172,4,174
173,4,174
174,4,174
175,4,174
176,4,174
177,4,174
178,4,174
179,4,174
180,4,175
181,4,175
182,4,175
183,4,175
184,4,175
185,4,174
186,4,175
187,4,175
188,4,174
189,4,175
190,4,174
191,4,174
192,4,174
193,4,174
194,4,175
195,4,175
196,4,176
197,4,176
198,4,177
199,4,177
200,4,177
201,4,176
202,4,174
203,4,171
204,4,172
205,4,172
206,4,172
207,4,172
208,4,172
209,4,173
210,4,174
211,4,174
211,5,175
210,5,175
209,5,174
208,5,170
207,5,166
206,5,162
205,5,160
204,5,160
203,5,159
202,5,158
201,5,158
200,5,157
199,5,157
198,5,157
197,5,157
196,5,157
195,5,157
194,5,156
193,5,156
192,5,156
191,5,157
190,5,157
189,5,159
188,5,158
187,5,158
186,5,162
185,5,166
184,5,173
183,5,175
182,5,174
181,5,173
180,5,173
179,5,173
178,5,172
177,5,172
176,5,173
175,5,174
174,5,176
173,5,176
172,5,177
171,5,178
170,5,176
169,5,176
168,5,175
167,5,175
166,5,174
165,5,174
164,5,174
163,5,175
162,5,175
161,5,174
160,5,174
159,5,174
158,5,174
157,5,173
156,5,174
155,5,173
154,5,173
153,5,173
152,5,172
151,5,172
150,5,173
149,5,173
148,5,173
147,5,174
146,5,173
145,5,174
144,5,174
143,5,174
142,5,174
141,5,175
140,5,174
139,5,174
138,5,174
137,5,175
136,5,174
135,5,175
134,5,175
133,5,176
132,5,174
131,5,174
130,5,174
129,5,174
128,5,174
127,5,174
126,5,174
125,5,175
124,5,174
123,5,175
122,5,175
121,5,175
120,5,175
119,5,174
118,5,174
117,5,174
116,5,174
115,5,174
114,5,174
113,5,174
112,5,175
111,5,173
110,5,173
109,5,173
108,5,174
107,5,174
106,5,174
105,5,174
104,5,174
103,5,175
102,5,175
101,5,175
100,5,175
99,5,175
98,5,175
97,5,175
96,5,174
95,5,175
94,5,175
93,5,175
92,5,175
91,5,175
90,5,175
89,5,175
88,5,175
87,5,176
86,5,176
85,5,176
84,5,177
83,5,177
82,5,177
81,5,177
80,5,176
79,5,176
78,5,176
77,5,176
76,5,176
75,5,176
74,5,176
73,5,177
72,5,177
71,5,177
70,5,177
69,5,178
68,5,178
67,5,178
66,5,178
65,5,178
64,5,178
63,5,178
